2023-07-30 09:39:01,648ERROR   :存在错误：Handshake status 401 Unauthorized -+-+- {'date': 'Sun, 30 Jul 2023 01:39:02 GMT', 'content-type': 'application/json; charset=utf-8', 'connection': 'keep-alive', 'content-length': '76', 'server': 'kong/1.3.0'} -+-+- b'{"message":"HMAC signature cannot be verified: fail to retrieve credential"}'
2023-07-30 21:10:05,654ERROR   :连接关闭
2023-07-30 21:10:42,651ERROR   :连接关闭
2023-07-30 21:11:48,782ERROR   :连接关闭
2023-07-30 21:12:08,784ERROR   :连接关闭
2023-07-30 21:14:05,005ERROR   :连接关闭
2023-07-30 21:14:28,405ERROR   :连接关闭
2023-07-30 21:15:29,308ERROR   :连接关闭
2023-07-30 21:16:10,509ERROR   :连接关闭
2023-07-31 11:03:08,240ERROR   :存在错误：Handshake status 401 Unauthorized -+-+- {'date': 'Mon, 31 Jul 2023 03:03:09 GMT', 'content-type': 'application/json; charset=utf-8', 'connection': 'keep-alive', 'content-length': '76', 'server': 'kong/1.3.0'} -+-+- b'{"message":"HMAC signature cannot be verified: fail to retrieve credential"}'
2023-07-31 11:03:08,260ERROR   :连接关闭
2023-07-31 11:03:43,984ERROR   :连接关闭
2023-07-31 11:06:53,446ERROR   :连接关闭
2023-07-31 11:08:17,831ERROR   :连接关闭
2023-07-31 11:26:43,233ERROR   :存在错误：local variable 'text' referenced before assignment
2023-07-31 11:26:43,432ERROR   :连接关闭
2023-07-31 11:26:52,949ERROR   :存在错误：local variable 'text' referenced before assignment
2023-07-31 11:26:53,149ERROR   :连接关闭
2023-07-31 11:27:33,211ERROR   :存在错误：No module named 'c'
2023-07-31 11:27:33,343ERROR   :连接关闭
2023-07-31 11:28:20,131ERROR   :存在错误：No module named 'e'
2023-07-31 11:28:20,282ERROR   :连接关闭
2023-07-31 12:17:46,050ERROR   :连接关闭
2023-07-31 12:18:02,935ERROR   :连接关闭
2023-07-31 12:18:56,974ERROR   :连接关闭
2023-07-31 12:19:15,455ERROR   :连接关闭
2023-07-31 12:20:03,399ERROR   :连接关闭
2023-07-31 12:20:28,620ERROR   :连接关闭
2023-07-31 12:21:14,283ERROR   :连接关闭
2023-07-31 12:21:53,928ERROR   :连接关闭
2023-07-31 12:22:19,340ERROR   :连接关闭
2023-07-31 19:28:48,615ERROR   :连接关闭
2023-07-31 19:57:01,046ERROR   :连接关闭
2023-08-19 20:30:03,113ERROR   :连接关闭
2023-08-19 20:30:31,151ERROR   :连接关闭
2024-04-08 19:32:06,784ERROR   :连接关闭
2024-04-08 19:32:17,264ERROR   :连接关闭
2024-04-08 19:32:41,199ERROR   :连接关闭
2024-04-08 19:32:55,655ERROR   :连接关闭
2024-04-08 22:53:07,365ERROR   :连接关闭
2024-04-08 22:53:32,584ERROR   :连接关闭
2024-04-08 22:53:43,149ERROR   :连接关闭
2024-04-08 22:54:05,042ERROR   :连接关闭
2024-04-08 22:56:06,118ERROR   :存在错误：[Errno 11001] getaddrinfo failed
2024-04-08 22:56:06,133ERROR   :连接关闭
2024-04-08 22:56:31,422ERROR   :连接关闭
2024-04-25 20:11:34,946ERROR   :连接关闭
2024-04-25 20:11:40,869ERROR   :连接关闭
2024-06-04 08:15:28,882ERROR   :连接关闭
2024-06-04 08:15:43,579ERROR   :连接关闭
2024-06-04 08:19:24,319ERROR   :连接关闭
2024-08-11 10:45:50,271ERROR   :错误代码：11200，内容：{'header': {'code': 11200, 'message': 'AppIdNoAuthError:(10:45:51.635) tokens.total', 'sid': 'cht000be0af@dx1913f53f192b894540', 'status': 2}}
2024-08-11 10:45:50,474ERROR   :连接关闭
2024-08-11 10:51:34,575ERROR   :连接关闭
2024-08-11 10:58:52,886ERROR   :连接关闭
2024-08-11 10:59:14,555ERROR   :连接关闭
2024-08-11 10:59:26,391ERROR   :连接关闭
2024-08-11 10:59:34,210ERROR   :连接关闭
2024-10-12 17:55:07,056ERROR   :连接关闭
